wordform,fst_analyses
giminongwaaminaaban,"['minongwaam+VAI+Ind+Pos+Prt+2SgSubj', 'minongwaami+VAI+Ind+Pos+Prt+2SgSubj']"
giniiminaaban,"['niimi+VAI+Ind+Pos+Prt+2SgSubj', 'niimin+VTA+Ind+Pos+Prt+2SgSubj+3SgProxObj']"
gimadaabiinaaban,"['madaabii+VAI+Ind+Pos+Prt+2SgSubj', 'madaabiin+VAIO+Ind+Pos+Prt+2SgSubj+0SgObj']"
zaaga'amoobaniin,"[""zaaga'am+VAI+Ind+Pos+Prt+3SgObvSubj"", ""zaaga'am+VAI+Ind+Pos+Prt+3PlObvSubj""]"
minongwaamoobaniin,"['minongwaam+VAI+Ind+Pos+Prt+3SgObvSubj', 'minongwaam+VAI+Ind+Pos+Prt+3PlObvSubj']"
wanishinoobaniin,"['wanishin+VAI+Ind+Pos+Prt+3SgObvSubj', 'wanishin+VAI+Ind+Pos+Prt+3PlObvSubj']"
nagamoobaniin,"['nagamo+VAI+Ind+Pos+Prt+3SgObvSubj', 'nagamo+VAI+Ind+Pos+Prt+3PlObvSubj']"
niimiibaniin,"['niimi+VAI+Ind+Pos+Prt+3SgObvSubj', 'niimi+VAI+Ind+Pos+Prt+3PlObvSubj']"
maajiibatoobaniin,"['maajiibatoo+VAI+Ind+Pos+Prt+3SgObvSubj', 'maajiibatoo+VAI+Ind+Pos+Prt+3PlObvSubj']"
madaabiibaniin,"['madaabii+VAI+Ind+Pos+Prt+3SgObvSubj', 'madaabii+VAI+Ind+Pos+Prt+3PlObvSubj']"
nibaabaniin,"['nibaa+VAI+Ind+Pos+Prt+3SgObvSubj', 'nibaa+VAI+Ind+Pos+Prt+3PlObvSubj']"
webinigebaniin,"['webinige+VAI+Ind+Pos+Prt+3SgObvSubj', 'webinige+VAI+Ind+Pos+Prt+3PlObvSubj']"
niminongwaamiminaaban,"['minongwaam+VAI+Ind+Pos+Prt+ExclSubj', 'minongwaami+VAI+Ind+Pos+Prt+ExclSubj']"
nimadaabiiminaaban,"['madaabii+VAI+Ind+Pos+Prt+ExclSubj', 'madaabiin+VAIO+Ind+Pos+Prt+ExclSubj+0SgObj']"
giminongwaamiminaaban,"['minongwaam+VAI+Ind+Pos+Prt+InclSubj', 'minongwaami+VAI+Ind+Pos+Prt+InclSubj']"
gimadaabiiminaaban,"['madaabii+VAI+Ind+Pos+Prt+InclSubj', 'madaabiin+VAIO+Ind+Pos+Prt+InclSubj+0SgObj']"
minongwaamimwaaban,"['minongwaam+VAI+Ind+Pos+Prt+XSubj', 'minongwaami+VAI+Ind+Pos+Prt+XSubj']"
