wordform,fst_analyses
miijisiwaang,"['miijin+VTI+Cnj+Neg+Neu+ExclSubj+0PlObj', 'miijin+VTI+Cnj+Neg+Neu+ExclSubj+0SgObj']"
wanitoosiwaang,"['wanitoon+VTI+Cnj+Neg+Neu+ExclSubj+0PlObj', 'wanitoon+VTI+Cnj+Neg+Neu+ExclSubj+0SgObj']"
ayaanziwang,"['ayaan+VTI+Cnj+Neg+Neu+InclSubj+0PlObj', 'ayaan+VTI+Cnj+Neg+Neu+InclSubj+0SgObj']"
waabandanziwang,"['waabandan+VTI+Cnj+Neg+Neu+InclSubj+0PlObj', 'waabandan+VTI+Cnj+Neg+Neu+InclSubj+0SgObj']"
miijisiwang,"['miijin+VTI+Cnj+Neg+Neu+InclSubj+0PlObj', 'miijin+VTI+Cnj+Neg+Neu+InclSubj+0SgObj']"
wanitoosiwang,"['wanitoon+VTI+Cnj+Neg+Neu+InclSubj+0PlObj', 'wanitoon+VTI+Cnj+Neg+Neu+InclSubj+0SgObj']"
waabandanzing,"['waabandan+VTI+Cnj+Neg+Neu+XSubj+0PlObj', 'waabandan+VTI+Cnj+Neg+Neu+XSubj+0SgObj']"
miijising,"['miijin+VTI+Cnj+Neg+Neu+XSubj+0SgObj', 'miijin+VTI+Cnj+Neg+Neu+XSubj+0PlObj']"
wanitoosing,"['wanitoon+VTI+Cnj+Neg+Neu+XSubj+0PlObj', 'wanitoon+VTI+Cnj+Neg+Neu+XSubj+0SgObj']"
ayaamaan,"['ayaan+VTI+Cnj+Pos+Neu+1SgSubj+0SgObj', 'ayaan+VTI+Cnj+Pos+Neu+1SgSubj+0PlObj']"
