wordform,fst_analyses
waabandigwaaban,"['waabam+VTA+Recip/di+VAI+Ind+Pos+DubPrt+3PlProxSubj+3PlProxObj', 'waabandiwag+VAI+Ind+Pos+DubPrt+3PlProxSubj+3PlProxObj']"
waabandisiigwaaban,"['waabam+VTA+Recip/di+VAI+Ind+Neg+DubPrt+3PlProxSubj+3PlProxObj', 'waabandiwag+VAI+Ind+Neg+DubPrt+3PlProxSubj+3PlProxObj']"
waabandisiwaang,"['waabam+VTA+Recip/di+VAI+Cnj+Neg+Neu+ExclSubj+ExclObj', 'waabandiwag+VAI+Cnj+Neg+Neu+ExclSubj+ExclObj']"
waabandiyaang,"['waabam+VTA+Recip/di+VAI+Cnj+Pos+Neu+ExclSubj+ExclObj', 'waabandiwag+VAI+Cnj+Pos+Neu+ExclSubj+ExclObj']"
waabandisiiwaangen,"['waabam+VTA+Recip/di+VAI+Cnj+Neg+Dub+ExclSubj+ExclObj', 'waabandiwag+VAI+Cnj+Neg+Dub+ExclSubj+ExclObj']"
waabandiwaangen,"['waabam+VTA+Recip/di+VAI+Cnj+Pos+Dub+ExclSubj+ExclObj', 'waabandiwag+VAI+Cnj+Pos+Dub+ExclSubj+ExclObj']"
waabandisiiwaangibanen,"['waabam+VTA+Recip/di+VAI+Cnj+Neg+DubPrt+ExclSubj+ExclObj', 'waabandiwag+VAI+Cnj+Neg+DubPrt+ExclSubj+ExclObj']"
waabandiwaangibanen,"['waabam+VTA+Recip/di+VAI+Cnj+Pos+DubPrt+ExclSubj+ExclObj', 'waabandiwag+VAI+Cnj+Pos+DubPrt+ExclSubj+ExclObj']"
waabandisiwaangiban,"['waabam+VTA+Recip/di+VAI+Cnj+Neg+Prt+ExclSubj+ExclObj', 'waabandiwag+VAI+Cnj+Neg+Prt+ExclSubj+ExclObj']"
waabandiyaangiban,"['waabam+VTA+Recip/di+VAI+Cnj+Pos+Prt+ExclSubj+ExclObj', 'waabandiwag+VAI+Cnj+Pos+Prt+ExclSubj+ExclObj']"
niwaabandisiimin,"['waabam+VTA+Recip/di+VAI+Ind+Neg+Neu+ExclSubj+ExclObj', 'waabandiwag+VAI+Ind+Neg+Neu+ExclSubj+ExclObj']"
niwaabandimin,"['waabam+VTA+Recip/di+VAI+Ind+Pos+Neu+ExclSubj+ExclObj', 'waabandiwag+VAI+Ind+Pos+Neu+ExclSubj+ExclObj']"
niwaabandiminaaban,"['waabam+VTA+Recip/di+VAI+Ind+Pos+Prt+ExclSubj+ExclObj', 'waabandiwag+VAI+Ind+Pos+Prt+ExclSubj+ExclObj']"
niwaabandisiiminaaban,"['waabam+VTA+Recip/di+VAI+Ind+Neg+Prt+ExclSubj+ExclObj', 'waabandiwag+VAI+Ind+Neg+Prt+ExclSubj+ExclObj']"
niwaabandiminaadog,"['waabam+VTA+Recip/di+VAI+Ind+Pos+Dub+ExclSubj+ExclObj', 'waabandiwag+VAI+Ind+Pos+Dub+ExclSubj+ExclObj']"
niwaabandisiiminaadog,"['waabam+VTA+Recip/di+VAI+Ind+Neg+Dub+ExclSubj+ExclObj', 'waabandiwag+VAI+Ind+Neg+Dub+ExclSubj+ExclObj']"
waabandisiwang,"['waabam+VTA+Recip/di+VAI+Cnj+Neg+Neu+InclSubj+InclObj', 'waabandiwag+VAI+Cnj+Neg+Neu+InclSubj+InclObj']"
