wordform,fst_analyses
zaaga'aminigobanen,"[""zaaga'am+VAI+Cnj+Pos+DubPrt+3PlObvSubj"", ""zaaga'am+VAI+Cnj+Neg+DubPrt+3PlObvSubj"", ""zaaga'am+VAI+Cnj+Pos+DubPrt+3SgObvSubj"", ""zaaga'am+VAI+Cnj+Neg+DubPrt+3SgObvSubj""]"
minongwaanziinigobanen,"['minongwaam+VAI+Cnj+Neg+DubPrt+3PlObvSubj', 'minongwaam+VAI+Cnj+Neg+DubPrt+3SgObvSubj']"
wanishinziinigobanen,"['wanishin+VAI+Cnj+Neg+DubPrt+3PlObvSubj', 'wanishin+VAI+Cnj+Neg+DubPrt+3SgObvSubj']"
nagamosiinigobanen,"['nagamo+VAI+Cnj+Neg+DubPrt+3PlObvSubj', 'nagamo+VAI+Cnj+Neg+DubPrt+3SgObvSubj']"
niimisiinigobanen,"['niimi+VAI+Cnj+Neg+DubPrt+3PlObvSubj', 'niimi+VAI+Cnj+Neg+DubPrt+3SgObvSubj']"
maajiibatoosiinigobanen,"['maajiibatoo+VAI+Cnj+Neg+DubPrt+3PlObvSubj', 'maajiibatoo+VAI+Cnj+Neg+DubPrt+3SgObvSubj']"
madaabiisiinigobanen,"['madaabii+VAI+Cnj+Neg+DubPrt+3PlObvSubj', 'madaabii+VAI+Cnj+Neg+DubPrt+3SgObvSubj', 'madaabiin+VAIO+Cnj+Neg+DubPrt+3PlObvSubj+0PlObj', 'madaabiin+VAIO+Cnj+Neg+DubPrt+3SgObvSubj+0PlObj', 'madaabiin+VAIO+Cnj+Neg+DubPrt+3PlObvSubj+0SgObj', 'madaabiin+VAIO+Cnj+Neg+DubPrt+3SgObvSubj+0SgObj']"
nibaasiinigobanen,"['nibaa+VAI+Cnj+Neg+DubPrt+3PlObvSubj', 'nibaa+VAI+Cnj+Neg+DubPrt+3SgObvSubj']"
webinigesiinigobanen,"['webinige+VAI+Cnj+Neg+DubPrt+3PlObvSubj', 'webinige+VAI+Cnj+Neg+DubPrt+3SgObvSubj']"
zaaga'amowaagobanen,"[""zaaga'am+VAI+Cnj+Pos+DubPrt+3PlProxSubj"", ""zaaga'am+VAI+Cnj+Neg+DubPrt+3PlProxSubj""]"
madaabiisiiwaagobanen,"['madaabii+VAI+Cnj+Neg+DubPrt+3PlProxSubj', 'madaabiin+VAIO+Cnj+Neg+DubPrt+3PlProxSubj+0PlObj', 'madaabiin+VAIO+Cnj+Neg+DubPrt+3PlProxSubj+0SgObj']"
