,wordform,fst_analyses
275,omikaagosiinaawaan,"['mikaw+VTA+Ind+Neg+Neu+0PlSubj+3PlProxObj', 'mikaw+VTA+Ind+Neg+Neu+0SgSubj+3PlProxObj']"
276,omizhogosiinaawaan,"['mizhwi+VTA+Ind+Neg+Neu+0PlSubj+3PlProxObj', 'mizho+VTA+Ind+Neg+Neu+0PlSubj+3PlProxObj', 'mizhwi+VTA+Ind+Neg+Neu+0SgSubj+3PlProxObj', 'mizho+VTA+Ind+Neg+Neu+0SgSubj+3PlProxObj']"
277,omikaagosiinan,"['mikaw+VTA+Ind+Neg+Neu+0PlSubj+3SgProxObj', 'mikaw+VTA+Ind+Neg+Neu+0PlSubj+3SgObvObj']"
278,owaabamigosiinan,"['waabam+VTA+Ind+Neg+Neu+0PlSubj+3SgProxObj', 'waabam+VTA+Ind+Neg+Neu+0PlSubj+3SgObvObj']"
279,omizhogosiinan,"['mizhwi+VTA+Ind+Neg+Neu+0PlSubj+3SgProxObj', 'mizho+VTA+Ind+Neg+Neu+0PlSubj+3SgProxObj', 'mizhwi+VTA+Ind+Neg+Neu+0PlSubj+3SgObvObj', 'mizho+VTA+Ind+Neg+Neu+0PlSubj+3SgObvObj']"
280,omiinigosiinan,"['miizh+VTA+Ind+Neg+Neu+0PlSubj+3SgProxObj', 'miizh+VTA+Ind+Neg+Neu+0PlSubj+3SgObvObj']"
281,omawadisigosiinan,"['mawadish+VTA+Ind+Neg+Neu+0PlSubj+3SgProxObj', 'mawadish+VTA+Ind+Neg+Neu+0PlSubj+3SgObvObj']"
282,nimikaagosiimin,"['mikaw+VTA+Ind+Neg+Neu+0PlSubj+ExclObj', 'mikaw+VTA+Ind+Neg+Neu+0SgSubj+ExclObj']"
283,niwaabamigosiimin,"['waabam+VTA+Ind+Neg+Neu+0PlSubj+ExclObj', 'waabam+VTA+Ind+Neg+Neu+0SgSubj+ExclObj']"
284,nimizhogosiimin,"['mizhwi+VTA+Ind+Neg+Neu+0PlSubj+ExclObj', 'mizho+VTA+Ind+Neg+Neu+0PlSubj+ExclObj', 'mizhwi+VTA+Ind+Neg+Neu+0SgSubj+ExclObj', 'mizho+VTA+Ind+Neg+Neu+0SgSubj+ExclObj']"
285,nimiinigosiimin,"['miizh+VTA+Ind+Neg+Neu+0PlSubj+ExclObj', 'miizh+VTA+Ind+Neg+Neu+0SgSubj+ExclObj']"
286,nimawadisigosiimin,"['mawadish+VTA+Ind+Neg+Neu+0PlSubj+ExclObj', 'mawadish+VTA+Ind+Neg+Neu+0SgSubj+ExclObj']"
287,gimikaagosiimin,"['mikaw+VTA+Ind+Neg+Neu+0PlSubj+InclObj', 'mikaw+VTA+Ind+Neg+Neu+0SgSubj+InclObj']"
288,giwaabamigosiimin,"['waabam+VTA+Ind+Neg+Neu+0PlSubj+InclObj', 'waabam+VTA+Ind+Neg+Neu+0SgSubj+InclObj']"
289,gimizhogosiimin,"['mizhwi+VTA+Ind+Neg+Neu+0PlSubj+InclObj', 'mizho+VTA+Ind+Neg+Neu+0PlSubj+InclObj', 'mizhwi+VTA+Ind+Neg+Neu+0SgSubj+InclObj', 'mizho+VTA+Ind+Neg+Neu+0SgSubj+InclObj']"
290,gimiinigosiimin,"['miizh+VTA+Ind+Neg+Neu+0PlSubj+InclObj', 'miizh+VTA+Ind+Neg+Neu+0SgSubj+InclObj']"
291,gimawadisigosiimin,"['mawadish+VTA+Ind+Neg+Neu+0PlSubj+InclObj', 'mawadish+VTA+Ind+Neg+Neu+0SgSubj+InclObj']"
292,nimikaagosiin,"['mikaw+VTA+Ind+Neg+Neu+3SgProxSubj+1SgObj', 'mikaw+VTA+Ind+Neg+Neu+0SgSubj+1SgObj']"
293,niwaabamigosiin,"['waabam+VTA+Ind+Neg+Neu+0SgSubj+1SgObj', 'waabam+VTA+Ind+Neg+Neu+3SgProxSubj+1SgObj']"
294,nimizhogosiin,"['mizhwi+VTA+Ind+Neg+Neu+0SgSubj+1SgObj', 'mizho+VTA+Ind+Neg+Neu+0SgSubj+1SgObj', 'mizhwi+VTA+Ind+Neg+Neu+3SgProxSubj+1SgObj', 'mizho+VTA+Ind+Neg+Neu+3SgProxSubj+1SgObj']"
295,nimiinigosiin,"['miizh+VTA+Ind+Neg+Neu+0SgSubj+1SgObj', 'miizh+VTA+Ind+Neg+Neu+3SgProxSubj+1SgObj']"
296,nimawadisigosiin,"['mawadish+VTA+Ind+Neg+Neu+0SgSubj+1SgObj', 'mawadish+VTA+Ind+Neg+Neu+3SgProxSubj+1SgObj']"
297,gimizhogosiinaawaa,"['mizhwi+VTA+Ind+Neg+Neu+0SgSubj+2PlObj', 'mizho+VTA+Ind+Neg+Neu+0SgSubj+2PlObj']"
298,gimikaagosiin,"['mikaw+VTA+Ind+Neg+Neu+3SgProxSubj+2SgObj', 'mikaw+VTA+Ind+Neg+Neu+0SgSubj+2SgObj']"
299,giwaabamigosiin,"['waabam+VTA+Ind+Neg+Neu+0SgSubj+2SgObj', 'waabam+VTA+Ind+Neg+Neu+3SgProxSubj+2SgObj']"
300,gimizhogosiin,"['mizhwi+VTA+Ind+Neg+Neu+0SgSubj+2SgObj', 'mizho+VTA+Ind+Neg+Neu+0SgSubj+2SgObj', 'mizhwi+VTA+Ind+Neg+Neu+3SgProxSubj+2SgObj', 'mizho+VTA+Ind+Neg+Neu+3SgProxSubj+2SgObj']"
301,gimiinigosiin,"['miizh+VTA+Ind+Neg+Neu+0SgSubj+2SgObj', 'miizh+VTA+Ind+Neg+Neu+3SgProxSubj+2SgObj']"
302,gimawadisigosiin,"['mawadish+VTA+Ind+Neg+Neu+0SgSubj+2SgObj', 'mawadish+VTA+Ind+Neg+Neu+3SgProxSubj+2SgObj']"
303,omikaagosiinaawaa,"['mikaw+VTA+Ind+Neg+Neu+0SgSubj+3PlObvObj', 'mikaw+VTA+Ind+Neg+Neu+0SgSubj+3PlProxObj']"
304,owaabamigosiinaawaa,"['waabam+VTA+Ind+Neg+Neu+0SgSubj+3PlProxObj', 'waabam+VTA+Ind+Neg+Neu+0SgSubj+3PlObvObj']"
305,omizhogosiinaawaa,"['mizhwi+VTA+Ind+Neg+Neu+0SgSubj+3PlObvObj', 'mizho+VTA+Ind+Neg+Neu+0SgSubj+3PlObvObj', 'mizhwi+VTA+Ind+Neg+Neu+0SgSubj+3PlProxObj', 'mizho+VTA+Ind+Neg+Neu+0SgSubj+3PlProxObj']"
306,omiinigosiinaawaa,"['miizh+VTA+Ind+Neg+Neu+0SgSubj+3PlProxObj', 'miizh+VTA+Ind+Neg+Neu+0SgSubj+3PlObvObj']"
307,omawadisigosiinaawaa,"['mawadish+VTA+Ind+Neg+Neu+0SgSubj+3PlProxObj', 'mawadish+VTA+Ind+Neg+Neu+0SgSubj+3PlObvObj']"
308,omikaagosiin,"['mikaw+VTA+Ind+Neg+Neu+3PlObvSubj+3SgProxObj', 'mikaw+VTA+Ind+Neg+Neu+3SgObvSubj+3SgProxObj', 'mikaw+VTA+Ind+Neg+Neu+0SgSubj+3SgProxObj', 'mikaw+VTA+Ind+Neg+Neu+0SgSubj+3SgObvObj']"
309,owaabamigosiin,"['waabam+VTA+Ind+Neg+Neu+3SgObvSubj+3SgProxObj', 'waabam+VTA+Ind+Neg+Neu+0SgSubj+3SgProxObj', 'waabam+VTA+Ind+Neg+Neu+3PlObvSubj+3SgProxObj', 'waabam+VTA+Ind+Neg+Neu+0SgSubj+3SgObvObj']"
310,omizhogosiin,"['mizhwi+VTA+Ind+Neg+Neu+3SgObvSubj+3SgProxObj', 'mizho+VTA+Ind+Neg+Neu+3SgObvSubj+3SgProxObj', 'mizhwi+VTA+Ind+Neg+Neu+0SgSubj+3SgProxObj', 'mizho+VTA+Ind+Neg+Neu+0SgSubj+3SgProxObj', 'mizhwi+VTA+Ind+Neg+Neu+0SgSubj+3SgObvObj', 'mizho+VTA+Ind+Neg+Neu+0SgSubj+3SgObvObj']"
311,omiinigosiin,"['miizh+VTA+Ind+Neg+Neu+3SgObvSubj+3SgProxObj', 'miizh+VTA+Ind+Neg+Neu+0SgSubj+3SgProxObj', 'miizh+VTA+Ind+Neg+Neu+3PlObvSubj+3SgProxObj', 'miizh+VTA+Ind+Neg+Neu+0SgSubj+3SgObvObj']"
312,omawadisigosiin,"['mawadish+VTA+Ind+Neg+Neu+3SgObvSubj+3SgProxObj', 'mawadish+VTA+Ind+Neg+Neu+0SgSubj+3SgProxObj', 'mawadish+VTA+Ind+Neg+Neu+3PlObvSubj+3SgProxObj', 'mawadish+VTA+Ind+Neg+Neu+0SgSubj+3SgObvObj']"
313,gimizhosinooninim,"['mizhwi+VTA+Ind+Neg+Neu+1SgSubj+2PlObj', 'mizho+VTA+Ind+Neg+Neu+1SgSubj+2PlObj']"
314,gimizhosinoon,"['mizhwi+VTA+Ind+Neg+Neu+1SgSubj+2SgObj', 'mizho+VTA+Ind+Neg+Neu+1SgSubj+2SgObj']"
315,nimizhomaasii',"['mizhwi+VTA+Ind+Neg+Neu+1SgSubj+3PlObvObj', 'mizho+VTA+Ind+Neg+Neu+1SgSubj+3PlObvObj']"
316,nimizhwaasiig,"['mizhwi+VTA+Ind+Neg+Neu+1SgSubj+3PlProxObj', 'mizho+VTA+Ind+Neg+Neu+1SgSubj+3PlProxObj']"
317,nimikawimaasiin,"['mikaw+VTA+Ind+Neg+Neu+1SgSubj+3SgObvObj', 'mikaw+VTA+Ind+Neg+Neu+1SgSubj+3PlObvObj']"
318,niwaabamimaasiin,"['waabam+VTA+Ind+Neg+Neu+1SgSubj+3SgObvObj', 'waabam+VTA+Ind+Neg+Neu+1SgSubj+3PlObvObj']"
319,nimizhomaasiin,"['mizhwi+VTA+Ind+Neg+Neu+1SgSubj+3SgObvObj', 'mizho+VTA+Ind+Neg+Neu+1SgSubj+3SgObvObj', 'mizhwi+VTA+Ind+Neg+Neu+1SgSubj+3PlObvObj', 'mizho+VTA+Ind+Neg+Neu+1SgSubj+3PlObvObj']"
320,nimiinimaasiin,"['miizh+VTA+Ind+Neg+Neu+1SgSubj+3SgObvObj', 'miizh+VTA+Ind+Neg+Neu+1SgSubj+3PlObvObj']"
321,nimawadisimaasiin,"['mawadish+VTA+Ind+Neg+Neu+1SgSubj+3SgObvObj', 'mawadish+VTA+Ind+Neg+Neu+1SgSubj+3PlObvObj']"
322,nimizhwaasii,"['mizhwi+VTA+Ind+Neg+Neu+1SgSubj+3SgProxObj', 'mizho+VTA+Ind+Neg+Neu+1SgSubj+3SgProxObj']"
323,gimikawisiim,"['mikaw+VTA+Ind+Neg+Neu+2PlSubj+1SgObj', 'mikawi+VAI+Ind+Neg+Neu+2PlSubj']"
324,gimizhosiim,"['mizhwi+VTA+Ind+Neg+Neu+2PlSubj+1SgObj', 'mizho+VTA+Ind+Neg+Neu+2PlSubj+1SgObj']"
325,gimizhwaasiwaawaa',"['mizhwi+VTA+Ind+Neg+Neu+2PlSubj+3PlObvObj', 'mizho+VTA+Ind+Neg+Neu+2PlSubj+3PlObvObj']"
326,gimizhwaasiwaawaag,"['mizhwi+VTA+Ind+Neg+Neu+2PlSubj+3PlProxObj', 'mizho+VTA+Ind+Neg+Neu+2PlSubj+3PlProxObj']"
327,gimizhwaasiwaawaan,"['mizhwi+VTA+Ind+Neg+Neu+2PlSubj+3SgObvObj', 'mizho+VTA+Ind+Neg+Neu+2PlSubj+3SgObvObj']"
328,gimizhwaasiwaawaa,"['mizhwi+VTA+Ind+Neg+Neu+2PlSubj+3SgProxObj', 'mizho+VTA+Ind+Neg+Neu+2PlSubj+3SgProxObj']"
329,gimikawisiinaam,"['mikaw+VTA+Ind+Neg+Neu+2SgSubj+ExclObj', 'mikaw+VTA+Ind+Neg+Neu+2PlSubj+ExclObj']"
330,giwaabamisiinaam,"['waabam+VTA+Ind+Neg+Neu+2SgSubj+ExclObj', 'waabam+VTA+Ind+Neg+Neu+2PlSubj+ExclObj']"
331,gimizhosiinaam,"['mizhwi+VTA+Ind+Neg+Neu+2SgSubj+ExclObj', 'mizho+VTA+Ind+Neg+Neu+2SgSubj+ExclObj', 'mizhwi+VTA+Ind+Neg+Neu+2PlSubj+ExclObj', 'mizho+VTA+Ind+Neg+Neu+2PlSubj+ExclObj']"
332,gimiizhisiinaam,"['miizh+VTA+Ind+Neg+Neu+2SgSubj+ExclObj', 'miizh+VTA+Ind+Neg+Neu+2PlSubj+ExclObj']"
333,gimawadishisiinaam,"['mawadish+VTA+Ind+Neg+Neu+2SgSubj+ExclObj', 'mawadish+VTA+Ind+Neg+Neu+2PlSubj+ExclObj']"
334,gimikawisii,"['mikaw+VTA+Ind+Neg+Neu+2SgSubj+1SgObj', 'mikawi+VAI+Ind+Neg+Neu+2SgSubj']"
335,gimizhosii,"['mizhwi+VTA+Ind+Neg+Neu+2SgSubj+1SgObj', 'mizho+VTA+Ind+Neg+Neu+2SgSubj+1SgObj']"
336,gimizhomaasii',"['mizhwi+VTA+Ind+Neg+Neu+2SgSubj+3PlObvObj', 'mizho+VTA+Ind+Neg+Neu+2SgSubj+3PlObvObj']"
337,gimizhwaasiig,"['mizhwi+VTA+Ind+Neg+Neu+2SgSubj+3PlProxObj', 'mizho+VTA+Ind+Neg+Neu+2SgSubj+3PlProxObj']"
338,gimikawimaasiin,"['mikaw+VTA+Ind+Neg+Neu+2SgSubj+3SgObvObj', 'mikaw+VTA+Ind+Neg+Neu+2SgSubj+3PlObvObj']"
339,giwaabamimaasiin,"['waabam+VTA+Ind+Neg+Neu+2SgSubj+3SgObvObj', 'waabam+VTA+Ind+Neg+Neu+2SgSubj+3PlObvObj']"
340,gimizhomaasiin,"['mizhwi+VTA+Ind+Neg+Neu+2SgSubj+3SgObvObj', 'mizho+VTA+Ind+Neg+Neu+2SgSubj+3SgObvObj', 'mizhwi+VTA+Ind+Neg+Neu+2SgSubj+3PlObvObj', 'mizho+VTA+Ind+Neg+Neu+2SgSubj+3PlObvObj']"
341,gimiinimaasiin,"['miizh+VTA+Ind+Neg+Neu+2SgSubj+3SgObvObj', 'miizh+VTA+Ind+Neg+Neu+2SgSubj+3PlObvObj']"
342,gimawadisimaasiin,"['mawadish+VTA+Ind+Neg+Neu+2SgSubj+3SgObvObj', 'mawadish+VTA+Ind+Neg+Neu+2SgSubj+3PlObvObj']"
343,gimizhwaasiin,"['mizhwi+VTA+Ind+Neg+Neu+2SgSubj+3SgProxObj', 'mizho+VTA+Ind+Neg+Neu+2SgSubj+3SgProxObj']"
344,omizhogosiiwaa',"['mizhwi+VTA+Ind+Neg+Neu+3PlObvSubj+3PlProxObj', 'mizho+VTA+Ind+Neg+Neu+3PlObvSubj+3PlProxObj']"
345,omizhogosii',"['mizhwi+VTA+Ind+Neg+Neu+3PlObvSubj+3SgProxObj', 'mizho+VTA+Ind+Neg+Neu+3PlObvSubj+3SgProxObj']"
346,nimizhogosiig,"['mizhwi+VTA+Ind+Neg+Neu+3PlProxSubj+1SgObj', 'mizho+VTA+Ind+Neg+Neu+3PlProxSubj+1SgObj']"
347,gimizhogosiiwaag,"['mizhwi+VTA+Ind+Neg+Neu+3PlProxSubj+2PlObj', 'mizho+VTA+Ind+Neg+Neu+3PlProxSubj+2PlObj']"
348,gimizhogosiig,"['mizhwi+VTA+Ind+Neg+Neu+3PlProxSubj+2SgObj', 'mizho+VTA+Ind+Neg+Neu+3PlProxSubj+2SgObj']"
349,omizhwaasiwaawaa',"['mizhwi+VTA+Ind+Neg+Neu+3PlProxSubj+3PlObvObj', 'mizho+VTA+Ind+Neg+Neu+3PlProxSubj+3PlObvObj']"
350,omikawaasiwaawaan,"['mikaw+VTA+Ind+Neg+Neu+3PlProxSubj+3SgObvObj', 'mikaw+VTA+Ind+Neg+Neu+3PlProxSubj+3PlObvObj']"
351,owaabamaasiwaawaan,"['waabam+VTA+Ind+Neg+Neu+3PlProxSubj+3SgObvObj', 'waabam+VTA+Ind+Neg+Neu+3PlProxSubj+3PlObvObj']"
352,omizhwaasiwaawaan,"['mizhwi+VTA+Ind+Neg+Neu+3PlProxSubj+3SgObvObj', 'mizho+VTA+Ind+Neg+Neu+3PlProxSubj+3SgObvObj', 'mizhwi+VTA+Ind+Neg+Neu+3PlProxSubj+3PlObvObj', 'mizho+VTA+Ind+Neg+Neu+3PlProxSubj+3PlObvObj']"
353,omiinaasiwaawaan,"['miizh+VTA+Ind+Neg+Neu+3PlProxSubj+3SgObvObj', 'miizh+VTA+Ind+Neg+Neu+3PlProxSubj+3PlObvObj']"
354,omawadisaasiwaawaan,"['mawadish+VTA+Ind+Neg+Neu+3PlProxSubj+3SgObvObj', 'mawadish+VTA+Ind+Neg+Neu+3PlProxSubj+3PlObvObj']"
355,nimizhogosiinaanig,"['mizhwi+VTA+Ind+Neg+Neu+3PlProxSubj+ExclObj', 'mizho+VTA+Ind+Neg+Neu+3PlProxSubj+ExclObj']"
356,gimizhogosiinaanig,"['mizhwi+VTA+Ind+Neg+Neu+3PlProxSubj+InclObj', 'mizho+VTA+Ind+Neg+Neu+3PlProxSubj+InclObj']"
357,omikaagosiiwaan,"['mikaw+VTA+Ind+Neg+Neu+3SgObvSubj+3PlProxObj', 'mikaw+VTA+Ind+Neg+Neu+3PlObvSubj+3PlProxObj']"
358,owaabamigosiiwaan,"['waabam+VTA+Ind+Neg+Neu+3SgObvSubj+3PlProxObj', 'waabam+VTA+Ind+Neg+Neu+3PlObvSubj+3PlProxObj']"
359,omizhogosiiwaan,"['mizhwi+VTA+Ind+Neg+Neu+3SgObvSubj+3PlProxObj', 'mizho+VTA+Ind+Neg+Neu+3SgObvSubj+3PlProxObj', 'mizhwi+VTA+Ind+Neg+Neu+3PlObvSubj+3PlProxObj', 'mizho+VTA+Ind+Neg+Neu+3PlObvSubj+3PlProxObj']"
360,omiinigosiiwaan,"['miizh+VTA+Ind+Neg+Neu+3SgObvSubj+3PlProxObj', 'miizh+VTA+Ind+Neg+Neu+3PlObvSubj+3PlProxObj']"
361,omawadisigosiiwaan,"['mawadish+VTA+Ind+Neg+Neu+3SgObvSubj+3PlProxObj', 'mawadish+VTA+Ind+Neg+Neu+3PlObvSubj+3PlProxObj']"
362,nimizhogosii,"['mizhwi+VTA+Ind+Neg+Neu+3SgProxSubj+1SgObj', 'mizho+VTA+Ind+Neg+Neu+3SgProxSubj+1SgObj']"
363,gimizhogosiiwaa,"['mizhwi+VTA+Ind+Neg+Neu+3SgProxSubj+2PlObj', 'mizho+VTA+Ind+Neg+Neu+3SgProxSubj+2PlObj']"
364,gimizhogosii,"['mizhwi+VTA+Ind+Neg+Neu+3SgProxSubj+2SgObj', 'mizho+VTA+Ind+Neg+Neu+3SgProxSubj+2SgObj']"
365,omizhwaasii',"['mizhwi+VTA+Ind+Neg+Neu+3SgProxSubj+3PlObvObj', 'mizho+VTA+Ind+Neg+Neu+3SgProxSubj+3PlObvObj']"
366,omikawaasiin,"['mikaw+VTA+Ind+Neg+Neu+3SgProxSubj+3PlObvObj', 'mikaw+VTA+Ind+Neg+Neu+3SgProxSubj+3SgObvObj']"
367,owaabamaasiin,"['waabam+VTA+Ind+Neg+Neu+3SgProxSubj+3PlObvObj', 'waabam+VTA+Ind+Neg+Neu+3SgProxSubj+3SgObvObj']"
368,omizhwaasiin,"['mizhwi+VTA+Ind+Neg+Neu+3SgProxSubj+3PlObvObj', 'mizho+VTA+Ind+Neg+Neu+3SgProxSubj+3PlObvObj', 'mizhwi+VTA+Ind+Neg+Neu+3SgProxSubj+3SgObvObj', 'mizho+VTA+Ind+Neg+Neu+3SgProxSubj+3SgObvObj']"
369,omiinaasiin,"['miizh+VTA+Ind+Neg+Neu+3SgProxSubj+3PlObvObj', 'miizh+VTA+Ind+Neg+Neu+3SgProxSubj+3SgObvObj']"
370,omawadisaasiin,"['mawadish+VTA+Ind+Neg+Neu+3SgProxSubj+3PlObvObj', 'mawadish+VTA+Ind+Neg+Neu+3SgProxSubj+3SgObvObj']"
371,nimizhogosiinaan,"['mizhwi+VTA+Ind+Neg+Neu+3SgProxSubj+ExclObj', 'mizho+VTA+Ind+Neg+Neu+3SgProxSubj+ExclObj']"
372,gimizhogosiinaan,"['mizhwi+VTA+Ind+Neg+Neu+3SgProxSubj+InclObj', 'mizho+VTA+Ind+Neg+Neu+3SgProxSubj+InclObj']"
373,gimikaagoosiim,"['mikaw+VTA+Ind+Neg+Neu+XSubj+2PlObj', 'mikaw+VTA+Ind+Neg+Neu+ExclSubj+2PlObj']"
374,giwaabamigoosiim,"['waabam+VTA+Ind+Neg+Neu+XSubj+2PlObj', 'waabam+VTA+Ind+Neg+Neu+ExclSubj+2PlObj']"
375,gimizhogoosiim,"['mizhwi+VTA+Ind+Neg+Neu+XSubj+2PlObj', 'mizho+VTA+Ind+Neg+Neu+XSubj+2PlObj', 'mizhwi+VTA+Ind+Neg+Neu+ExclSubj+2PlObj', 'mizho+VTA+Ind+Neg+Neu+ExclSubj+2PlObj']"
376,gimiinigoosiim,"['miizh+VTA+Ind+Neg+Neu+XSubj+2PlObj', 'miizh+VTA+Ind+Neg+Neu+ExclSubj+2PlObj']"
377,gimawadisigoosiim,"['mawadish+VTA+Ind+Neg+Neu+XSubj+2PlObj', 'mawadish+VTA+Ind+Neg+Neu+ExclSubj+2PlObj']"
378,gimikaagoosii,"['mikaw+VTA+Ind+Neg+Neu+XSubj+2SgObj', 'mikaw+VTA+Ind+Neg+Neu+ExclSubj+2SgObj']"
379,giwaabamigoosii,"['waabam+VTA+Ind+Neg+Neu+XSubj+2SgObj', 'waabam+VTA+Ind+Neg+Neu+ExclSubj+2SgObj']"
380,gimizhogoosii,"['mizhwi+VTA+Ind+Neg+Neu+XSubj+2SgObj', 'mizho+VTA+Ind+Neg+Neu+XSubj+2SgObj', 'mizhwi+VTA+Ind+Neg+Neu+ExclSubj+2SgObj', 'mizho+VTA+Ind+Neg+Neu+ExclSubj+2SgObj']"
381,gimiinigoosii,"['miizh+VTA+Ind+Neg+Neu+XSubj+2SgObj', 'miizh+VTA+Ind+Neg+Neu+ExclSubj+2SgObj']"
382,gimawadisigoosii,"['mawadish+VTA+Ind+Neg+Neu+XSubj+2SgObj', 'mawadish+VTA+Ind+Neg+Neu+ExclSubj+2SgObj']"
383,nimikawaasiwaanaanig,"['mikaw+VTA+Ind+Neg+Neu+ExclSubj+3PlObvObj', 'mikaw+VTA+Ind+Neg+Neu+ExclSubj+3PlProxObj']"
384,niwaabamaasiwaanaanig,"['waabam+VTA+Ind+Neg+Neu+ExclSubj+3PlObvObj', 'waabam+VTA+Ind+Neg+Neu+ExclSubj+3PlProxObj']"
385,nimizhwaasiwaanaanig,"['mizhwi+VTA+Ind+Neg+Neu+ExclSubj+3PlObvObj', 'mizho+VTA+Ind+Neg+Neu+ExclSubj+3PlObvObj', 'mizhwi+VTA+Ind+Neg+Neu+ExclSubj+3PlProxObj', 'mizho+VTA+Ind+Neg+Neu+ExclSubj+3PlProxObj']"
386,nimiinaasiwaanaanig,"['miizh+VTA+Ind+Neg+Neu+ExclSubj+3PlObvObj', 'miizh+VTA+Ind+Neg+Neu+ExclSubj+3PlProxObj']"
387,nimawadisaasiwaanaanig,"['mawadish+VTA+Ind+Neg+Neu+ExclSubj+3PlObvObj', 'mawadish+VTA+Ind+Neg+Neu+ExclSubj+3PlProxObj']"
388,nimikawaasiwaanaan,"['mikaw+VTA+Ind+Neg+Neu+ExclSubj+3SgObvObj', 'mikaw+VTA+Ind+Neg+Neu+ExclSubj+3SgProxObj']"
389,niwaabamaasiwaanaan,"['waabam+VTA+Ind+Neg+Neu+ExclSubj+3SgObvObj', 'waabam+VTA+Ind+Neg+Neu+ExclSubj+3SgProxObj']"
390,nimizhwaasiwaanaan,"['mizhwi+VTA+Ind+Neg+Neu+ExclSubj+3SgObvObj', 'mizho+VTA+Ind+Neg+Neu+ExclSubj+3SgObvObj', 'mizhwi+VTA+Ind+Neg+Neu+ExclSubj+3SgProxObj', 'mizho+VTA+Ind+Neg+Neu+ExclSubj+3SgProxObj']"
391,nimiinaasiwaanaan,"['miizh+VTA+Ind+Neg+Neu+ExclSubj+3SgObvObj', 'miizh+VTA+Ind+Neg+Neu+ExclSubj+3SgProxObj']"
392,nimawadisaasiwaanaan,"['mawadish+VTA+Ind+Neg+Neu+ExclSubj+3SgObvObj', 'mawadish+VTA+Ind+Neg+Neu+ExclSubj+3SgProxObj']"
393,gimikawaasiwaanaanig,"['mikaw+VTA+Ind+Neg+Neu+InclSubj+3PlObvObj', 'mikaw+VTA+Ind+Neg+Neu+InclSubj+3PlProxObj']"
394,giwaabamaasiwaanaanig,"['waabam+VTA+Ind+Neg+Neu+InclSubj+3PlObvObj', 'waabam+VTA+Ind+Neg+Neu+InclSubj+3PlProxObj']"
395,gimizhwaasiwaanaanig,"['mizhwi+VTA+Ind+Neg+Neu+InclSubj+3PlObvObj', 'mizho+VTA+Ind+Neg+Neu+InclSubj+3PlObvObj', 'mizhwi+VTA+Ind+Neg+Neu+InclSubj+3PlProxObj', 'mizho+VTA+Ind+Neg+Neu+InclSubj+3PlProxObj']"
396,gimiinaasiwaanaanig,"['miizh+VTA+Ind+Neg+Neu+InclSubj+3PlObvObj', 'miizh+VTA+Ind+Neg+Neu+InclSubj+3PlProxObj']"
397,gimawadisaasiwaanaanig,"['mawadish+VTA+Ind+Neg+Neu+InclSubj+3PlObvObj', 'mawadish+VTA+Ind+Neg+Neu+InclSubj+3PlProxObj']"
398,gimikawaasiwaanaan,"['mikaw+VTA+Ind+Neg+Neu+InclSubj+3SgObvObj', 'mikaw+VTA+Ind+Neg+Neu+InclSubj+3SgProxObj']"
399,giwaabamaasiwaanaan,"['waabam+VTA+Ind+Neg+Neu+InclSubj+3SgObvObj', 'waabam+VTA+Ind+Neg+Neu+InclSubj+3SgProxObj']"
400,gimizhwaasiwaanaan,"['mizhwi+VTA+Ind+Neg+Neu+InclSubj+3SgObvObj', 'mizho+VTA+Ind+Neg+Neu+InclSubj+3SgObvObj', 'mizhwi+VTA+Ind+Neg+Neu+InclSubj+3SgProxObj', 'mizho+VTA+Ind+Neg+Neu+InclSubj+3SgProxObj']"
401,gimiinaasiwaanaan,"['miizh+VTA+Ind+Neg+Neu+InclSubj+3SgObvObj', 'miizh+VTA+Ind+Neg+Neu+InclSubj+3SgProxObj']"
402,gimawadisaasiwaanaan,"['mawadish+VTA+Ind+Neg+Neu+InclSubj+3SgObvObj', 'mawadish+VTA+Ind+Neg+Neu+InclSubj+3SgProxObj']"
403,nimizhogoosii,"['mizhwi+VTA+Ind+Neg+Neu+XSubj+1SgObj', 'mizho+VTA+Ind+Neg+Neu+XSubj+1SgObj']"
404,mizhomaasiiwa',"['mizhwi+VTA+Ind+Neg+Neu+XSubj+3PlObvObj', 'mizho+VTA+Ind+Neg+Neu+XSubj+3PlObvObj']"
405,mizhwaasiiwag,"['mizhwi+VTA+Ind+Neg+Neu+XSubj+3PlProxObj', 'mizho+VTA+Ind+Neg+Neu+XSubj+3PlProxObj']"
406,mikawimaasiiwan,"['mikaw+VTA+Ind+Neg+Neu+XSubj+3SgObvObj', 'mikaw+VTA+Ind+Neg+Neu+XSubj+3PlObvObj']"
407,waabamimaasiiwan,"['waabam+VTA+Ind+Neg+Neu+XSubj+3SgObvObj', 'waabam+VTA+Ind+Neg+Neu+XSubj+3PlObvObj']"
408,mizhomaasiiwan,"['mizhwi+VTA+Ind+Neg+Neu+XSubj+3SgObvObj', 'mizho+VTA+Ind+Neg+Neu+XSubj+3SgObvObj', 'mizhwi+VTA+Ind+Neg+Neu+XSubj+3PlObvObj', 'mizho+VTA+Ind+Neg+Neu+XSubj+3PlObvObj']"
409,miinimaasiiwan,"['miizh+VTA+Ind+Neg+Neu+XSubj+3SgObvObj', 'miizh+VTA+Ind+Neg+Neu+XSubj+3PlObvObj']"
