wordform,fst_analyses
waabamigowaagwen,"['waabam+VTA+Cnj+Pos+Dub+3PlObvSubj+3PlProxObj', 'waabam+VTA+Cnj+Pos+Dub+3SgObvSubj+3PlProxObj', 'waabam+VTA+Cnj+Pos+Dub+0PlSubj+3PlProxObj', 'waabam+VTA+Cnj+Pos+Dub+0SgSubj+3PlProxObj']"
mawadisigosiigwen,"['mawadish+VTA+Cnj+Neg+Dub+3PlObvSubj+3SgProxObj', 'mawadish+VTA+Cnj+Neg+Dub+3SgObvSubj+3SgProxObj', 'mawadish+VTA+Cnj+Neg+Dub+0PlSubj+3SgProxObj', 'mawadish+VTA+Cnj+Neg+Dub+0SgSubj+3SgProxObj']"
miinigosiigwen,"['miizh+VTA+Cnj+Neg+Dub+3PlObvSubj+3SgProxObj', 'miizh+VTA+Cnj+Neg+Dub+3SgObvSubj+3SgProxObj', 'miizh+VTA+Cnj+Neg+Dub+0PlSubj+3SgProxObj', 'miizh+VTA+Cnj+Neg+Dub+0SgSubj+3SgProxObj']"
mikaagosiigwen,"['mikaw+VTA+Cnj+Neg+Dub+3PlObvSubj+3SgProxObj', 'mikaw+VTA+Cnj+Neg+Dub+3SgObvSubj+3SgProxObj', 'mikaw+VTA+Cnj+Neg+Dub+0PlSubj+3SgProxObj', 'mikaw+VTA+Cnj+Neg+Dub+0SgSubj+3SgProxObj']"
mizhogosiigwen,"['mizhwi+VTA+Cnj+Neg+Dub+3PlObvSubj+3SgProxObj', 'mizho+VTA+Cnj+Neg+Dub+3PlObvSubj+3SgProxObj', 'mizhwi+VTA+Cnj+Neg+Dub+3SgObvSubj+3SgProxObj', 'mizho+VTA+Cnj+Neg+Dub+3SgObvSubj+3SgProxObj', 'mizhwi+VTA+Cnj+Neg+Dub+0PlSubj+3SgProxObj', 'mizho+VTA+Cnj+Neg+Dub+0PlSubj+3SgProxObj', 'mizhwi+VTA+Cnj+Neg+Dub+0SgSubj+3SgProxObj', 'mizho+VTA+Cnj+Neg+Dub+0SgSubj+3SgProxObj']"
waabamigosiigwen,"['waabam+VTA+Cnj+Neg+Dub+3PlObvSubj+3SgProxObj', 'waabam+VTA+Cnj+Neg+Dub+3SgObvSubj+3SgProxObj', 'waabam+VTA+Cnj+Neg+Dub+0PlSubj+3SgProxObj', 'waabam+VTA+Cnj+Neg+Dub+0SgSubj+3SgProxObj']"
mawadisigogwen,"['mawadish+VTA+Cnj+Pos+Dub+0PlSubj+3SgProxObj', 'mawadish+VTA+Cnj+Pos+Dub+0SgSubj+3SgProxObj', 'mawadish+VTA+Cnj+Pos+Dub+3PlObvSubj+3SgProxObj', 'mawadish+VTA+Cnj+Pos+Dub+3SgObvSubj+3SgProxObj']"
miinigogwen,"['miizh+VTA+Cnj+Pos+Dub+0PlSubj+3SgProxObj', 'miizh+VTA+Cnj+Pos+Dub+0SgSubj+3SgProxObj', 'miizh+VTA+Cnj+Pos+Dub+3PlObvSubj+3SgProxObj', 'miizh+VTA+Cnj+Pos+Dub+3SgObvSubj+3SgProxObj']"
mikaagogwen,"['mikaw+VTA+Cnj+Pos+Dub+3PlObvSubj+3SgProxObj', 'mikaw+VTA+Cnj+Pos+Dub+3SgObvSubj+3SgProxObj', 'mikaw+VTA+Cnj+Pos+Dub+0PlSubj+3SgProxObj', 'mikaw+VTA+Cnj+Pos+Dub+0SgSubj+3SgProxObj']"
mizhogogwen,"['mizhwi+VTA+Cnj+Pos+Dub+0PlSubj+3SgProxObj', 'mizho+VTA+Cnj+Pos+Dub+0PlSubj+3SgProxObj', 'mizhwi+VTA+Cnj+Pos+Dub+0SgSubj+3SgProxObj', 'mizho+VTA+Cnj+Pos+Dub+0SgSubj+3SgProxObj', 'mizhwi+VTA+Cnj+Pos+Dub+3PlObvSubj+3SgProxObj', 'mizho+VTA+Cnj+Pos+Dub+3PlObvSubj+3SgProxObj', 'mizhwi+VTA+Cnj+Pos+Dub+3SgObvSubj+3SgProxObj', 'mizho+VTA+Cnj+Pos+Dub+3SgObvSubj+3SgProxObj']"
waabamigogwen,"['waabam+VTA+Cnj+Pos+Dub+0PlSubj+3SgProxObj', 'waabam+VTA+Cnj+Pos+Dub+0SgSubj+3SgProxObj', 'waabam+VTA+Cnj+Pos+Dub+3PlObvSubj+3SgProxObj', 'waabam+VTA+Cnj+Pos+Dub+3SgObvSubj+3SgProxObj']"
mawadisigosiiwaangen,"['mawadish+VTA+Cnj+Neg+Dub+0PlSubj+ExclObj', 'mawadish+VTA+Cnj+Neg+Dub+0SgSubj+ExclObj']"
miinigosiiwaangen,"['miizh+VTA+Cnj+Neg+Dub+0PlSubj+ExclObj', 'miizh+VTA+Cnj+Neg+Dub+0SgSubj+ExclObj']"
mikaagosiiwaangen,"['mikaw+VTA+Cnj+Neg+Dub+0PlSubj+ExclObj', 'mikaw+VTA+Cnj+Neg+Dub+0SgSubj+ExclObj']"
mizhogosiiwaangen,"['mizhwi+VTA+Cnj+Neg+Dub+0PlSubj+ExclObj', 'mizho+VTA+Cnj+Neg+Dub+0PlSubj+ExclObj', 'mizhwi+VTA+Cnj+Neg+Dub+0SgSubj+ExclObj', 'mizho+VTA+Cnj+Neg+Dub+0SgSubj+ExclObj']"
waabamigosiiwaangen,"['waabam+VTA+Cnj+Neg+Dub+0PlSubj+ExclObj', 'waabam+VTA+Cnj+Neg+Dub+0SgSubj+ExclObj']"
mawadisigowaangen,"['mawadish+VTA+Cnj+Pos+Dub+0PlSubj+ExclObj', 'mawadish+VTA+Cnj+Pos+Dub+0SgSubj+ExclObj']"
miinigowaangen,"['miizh+VTA+Cnj+Pos+Dub+0PlSubj+ExclObj', 'miizh+VTA+Cnj+Pos+Dub+0SgSubj+ExclObj']"
mikaagowaangen,"['mikaw+VTA+Cnj+Pos+Dub+0PlSubj+ExclObj', 'mikaw+VTA+Cnj+Pos+Dub+0SgSubj+ExclObj']"
mizhogowaangen,"['mizhwi+VTA+Cnj+Pos+Dub+0PlSubj+ExclObj', 'mizho+VTA+Cnj+Pos+Dub+0PlSubj+ExclObj', 'mizhwi+VTA+Cnj+Pos+Dub+0SgSubj+ExclObj', 'mizho+VTA+Cnj+Pos+Dub+0SgSubj+ExclObj']"
waabamigowaangen,"['waabam+VTA+Cnj+Pos+Dub+0PlSubj+ExclObj', 'waabam+VTA+Cnj+Pos+Dub+0SgSubj+ExclObj']"
mawadisigosiiwangen,"['mawadish+VTA+Cnj+Neg+Dub+0PlSubj+InclObj', 'mawadish+VTA+Cnj+Neg+Dub+0SgSubj+InclObj']"
miinigosiiwangen,"['miizh+VTA+Cnj+Neg+Dub+0PlSubj+InclObj', 'miizh+VTA+Cnj+Neg+Dub+0SgSubj+InclObj']"
mikaagosiiwangen,"['mikaw+VTA+Cnj+Neg+Dub+0PlSubj+InclObj', 'mikaw+VTA+Cnj+Neg+Dub+0SgSubj+InclObj']"
mizhogosiiwangen,"['mizhwi+VTA+Cnj+Neg+Dub+0PlSubj+InclObj', 'mizho+VTA+Cnj+Neg+Dub+0PlSubj+InclObj', 'mizhwi+VTA+Cnj+Neg+Dub+0SgSubj+InclObj', 'mizho+VTA+Cnj+Neg+Dub+0SgSubj+InclObj']"
waabamigosiiwangen,"['waabam+VTA+Cnj+Neg+Dub+0PlSubj+InclObj', 'waabam+VTA+Cnj+Neg+Dub+0SgSubj+InclObj']"
mawadisigowangen,"['mawadish+VTA+Cnj+Pos+Dub+0PlSubj+InclObj', 'mawadish+VTA+Cnj+Pos+Dub+0SgSubj+InclObj']"
miinigowangen,"['miizh+VTA+Cnj+Pos+Dub+0PlSubj+InclObj', 'miizh+VTA+Cnj+Pos+Dub+0SgSubj+InclObj']"
mikaagowangen,"['mikaw+VTA+Cnj+Pos+Dub+0PlSubj+InclObj', 'mikaw+VTA+Cnj+Pos+Dub+0SgSubj+InclObj']"
mizhogowangen,"['mizhwi+VTA+Cnj+Pos+Dub+0PlSubj+InclObj', 'mizho+VTA+Cnj+Pos+Dub+0PlSubj+InclObj', 'mizhwi+VTA+Cnj+Pos+Dub+0SgSubj+InclObj', 'mizho+VTA+Cnj+Pos+Dub+0SgSubj+InclObj']"
waabamigowangen,"['waabam+VTA+Cnj+Pos+Dub+0PlSubj+InclObj', 'waabam+VTA+Cnj+Pos+Dub+0SgSubj+InclObj']"
mizhosinonagoogwen,"['mizhwi+VTA+Cnj+Neg+Dub+1SgSubj+2PlObj', 'mizho+VTA+Cnj+Neg+Dub+1SgSubj+2PlObj']"
mizhonagoogwen,"['mizhwi+VTA+Cnj+Pos+Dub+1SgSubj+2PlObj', 'mizho+VTA+Cnj+Pos+Dub+1SgSubj+2PlObj']"
mizhosiinowaanen,"['mizhwi+VTA+Cnj+Neg+Dub+1SgSubj+2SgObj', 'mizho+VTA+Cnj+Neg+Dub+1SgSubj+2SgObj']"
mizhonowaanen,"['mizhwi+VTA+Cnj+Pos+Dub+1SgSubj+2SgObj', 'mizho+VTA+Cnj+Pos+Dub+1SgSubj+2SgObj']"
mawadisimaasiwaawagen,"['mawadish+VTA+Cnj+Neg+Dub+1SgSubj+3PlObvObj', 'mawadish+VTA+Cnj+Neg+Dub+1SgSubj+3SgObvObj']"
miinimaasiwaawagen,"['miizh+VTA+Cnj+Neg+Dub+1SgSubj+3PlObvObj', 'miizh+VTA+Cnj+Neg+Dub+1SgSubj+3SgObvObj']"
mikawimaasiwaawagen,"['mikaw+VTA+Cnj+Neg+Dub+1SgSubj+3PlObvObj', 'mikaw+VTA+Cnj+Neg+Dub+1SgSubj+3SgObvObj']"
mizhomaasiwaawagen,"['mizhwi+VTA+Cnj+Neg+Dub+1SgSubj+3PlObvObj', 'mizho+VTA+Cnj+Neg+Dub+1SgSubj+3PlObvObj', 'mizhwi+VTA+Cnj+Neg+Dub+1SgSubj+3SgObvObj', 'mizho+VTA+Cnj+Neg+Dub+1SgSubj+3SgObvObj']"
waabamimaasiwaawagen,"['waabam+VTA+Cnj+Neg+Dub+1SgSubj+3PlObvObj', 'waabam+VTA+Cnj+Neg+Dub+1SgSubj+3SgObvObj']"
mawadisimaawagen,"['mawadish+VTA+Cnj+Pos+Dub+1SgSubj+3PlObvObj', 'mawadish+VTA+Cnj+Pos+Dub+1SgSubj+3SgObvObj']"
miinimaawagen,"['miizh+VTA+Cnj+Pos+Dub+1SgSubj+3PlObvObj', 'miizh+VTA+Cnj+Pos+Dub+1SgSubj+3SgObvObj']"
mikawimaawagen,"['mikaw+VTA+Cnj+Pos+Dub+1SgSubj+3PlObvObj', 'mikaw+VTA+Cnj+Pos+Dub+1SgSubj+3SgObvObj']"
