wordform,fst_analyses
nidayaasiinaaban,"['ayaa+VAI+Ind+Neg+Prt+1SgSubj', 'ayaan+VTI+Ind+Neg+Prt+1SgSubj+0SgObj']"
gidayaasiinaaban,"['ayaa+VAI+Ind+Neg+Prt+2SgSubj', 'ayaan+VTI+Ind+Neg+Prt+2SgSubj+0SgObj']"
odayaasiininaaban,"['ayaan+VTI+Ind+Neg+Prt+3PlObvSubj+0SgObj', 'ayaan+VTI+Ind+Neg+Prt+3SgObvSubj+0SgObj']"
owaabandanziininaaban,"['waabandan+VTI+Ind+Neg+Prt+3PlObvSubj+0SgObj', 'waabandan+VTI+Ind+Neg+Prt+3SgObvSubj+0SgObj']"
omiijisiininaaban,"['miijin+VTI+Ind+Neg+Prt+3PlObvSubj+0SgObj', 'miijin+VTI+Ind+Neg+Prt+3SgObvSubj+0SgObj']"
owanitoosiininaaban,"['wanitoon+VTI+Ind+Neg+Prt+3PlObvSubj+0SgObj', 'wanitoon+VTI+Ind+Neg+Prt+3SgObvSubj+0SgObj']"
nidayaasiiminaaban,"['ayaa+VAI+Ind+Neg+Prt+ExclSubj', 'ayaan+VTI+Ind+Neg+Prt+ExclSubj+0SgObj']"
gidayaasiiminaaban,"['ayaa+VAI+Ind+Neg+Prt+InclSubj', 'ayaan+VTI+Ind+Neg+Prt+InclSubj+0SgObj']"
gimiijinaawaabaniin,"['miijizh+VTA+Ind+Pos+Prt+2PlSubj+3SgObvObj', 'miijin+VTI+Ind+Pos+Prt+2PlSubj+0PlObj']"
odayaaninaabaniin,"['ayaan+VTI+Ind+Pos+Prt+3PlObvSubj+0PlObj', 'ayaan+VTI+Ind+Pos+Prt+3SgObvSubj+0PlObj']"
owaabandaaninaabaniin,"['waabandan+VTI+Ind+Pos+Prt+3PlObvSubj+0PlObj', 'waabandan+VTI+Ind+Pos+Prt+3SgObvSubj+0PlObj']"
omiijininaabaniin,"['miijin+VTI+Ind+Pos+Prt+3PlObvSubj+0PlObj', 'miijin+VTI+Ind+Pos+Prt+3SgObvSubj+0PlObj']"
owanitooninaabaniin,"['wanitoon+VTI+Ind+Pos+Prt+3PlObvSubj+0PlObj', 'wanitoon+VTI+Ind+Pos+Prt+3SgObvSubj+0PlObj']"
omiijinaawaabaniin,"['miijin+VTI+Ind+Pos+Prt+3PlProxSubj+0PlObj', 'miijizh+VTA+Ind+Pos+Prt+3PlProxSubj+3SgObvObj']"
