wordform,fst_analyses
mikawaaken,"['mikaw+VTA+Imp+Prb+2SgSubj+3PlProxObj', 'mikaw+VTA+Imp+Prb+2SgSubj+3SgProxObj']"
mikaw,"['mikaw+VTA+Imp+Sim+2SgSubj+3SgProxObj', 'mikaw+VTA+Imp+Sim+2SgSubj+3PlProxObj']"
mikawimaakang,"['mikaw+VTA+Imp+Del+InclSubj+3PlObvObj', 'mikaw+VTA+Imp+Del+InclSubj+3SgObvObj']"
mikawaasiwaadaa,"['mikaw+VTA+Imp+Prb+InclSubj+3PlObvObj', 'mikaw+VTA+Imp+Prb+InclSubj+3SgProxObj', 'mikaw+VTA+Imp+Prb+InclSubj+3SgObvObj']"
mikawaadaa,"['mikaw+VTA+Imp+Sim+InclSubj+3PlObvObj', 'mikaw+VTA+Imp+Sim+InclSubj+3SgObvObj', 'mikaw+VTA+Imp+Sim+InclSubj+3SgProxObj']"
mikawaakang,"['mikaw+VTA+Imp+Del+InclSubj+3PlProxObj', 'mikaw+VTA+Imp+Del+InclSubj+3SgProxObj']"
miinimaakeg,"['miizh+VTA+Imp+Del+2PlSubj+3PlObvObj', 'miizh+VTA+Imp+Del+2PlSubj+3SgObvObj']"
miinimaakegon,"['miizh+VTA+Imp+Prb+2PlSubj+3PlObvObj', 'miizh+VTA+Imp+Prb+2PlSubj+3SgObvObj']"
miinim,"['miizh+VTA+Imp+Sim+2SgSubj+3SgObvObj', 'miizh+VTA+Imp+Sim+2PlSubj+3SgObvObj', 'miizh+VTA+Imp+Sim+2SgSubj+3PlObvObj', 'miizh+VTA+Imp+Sim+2PlSubj+3PlObvObj']"
miinaakeg,"['miizh+VTA+Imp+Del+2PlSubj+3SgProxObj', 'miizh+VTA+Imp+Del+2PlSubj+3PlProxObj']"
miinaakegon,"['miizh+VTA+Imp+Prb+2PlSubj+3SgProxObj', 'miizh+VTA+Imp+Prb+2PlSubj+3PlProxObj']"
miinik,"['miizh+VTA+Cnj+Pos+Neu+3SgProxSubj+2SgObj', 'miizh+VTA+Imp+Sim+2PlSubj+3SgProxObj', 'miizh+VTA+Imp+Sim+2PlSubj+3PlProxObj']"
miizhishinaakaam,"['miizh+VTA+Imp+Prb+2PlSubj+ExclObj', 'miizh+VTA+Imp+Prb+2SgSubj+ExclObj', 'miizh+VTA+Imp+Del+2PlSubj+ExclObj', 'miizh+VTA+Imp+Del+2SgSubj+ExclObj']"
miizhishinaam,"['miizh+VTA+Imp+Sim+2SgSubj+ExclObj', 'miizh+VTA+Imp+Sim+2PlSubj+ExclObj']"
miinimaakan,"['miizh+VTA+Imp+Del+2SgSubj+3PlObvObj', 'miizh+VTA+Imp+Del+2SgSubj+3SgObvObj']"
miinimaaken,"['miizh+VTA+Imp+Prb+2SgSubj+3PlObvObj', 'miizh+VTA+Imp+Prb+2SgSubj+3SgObvObj']"
miinaakan,"['miizh+VTA+Imp+Del+2SgSubj+3PlProxObj', 'miizh+VTA+Imp+Del+2SgSubj+3SgProxObj']"
miinaaken,"['miizh+VTA+Imp+Prb+2SgSubj+3PlProxObj', 'miizh+VTA+Imp+Prb+2SgSubj+3SgProxObj']"
miizh,"['miizh+VTA+Imp+Sim+2SgSubj+3SgProxObj', 'miizh+VTA+Imp+Sim+2SgSubj+3PlProxObj']"
miinimaakang,"['miizh+VTA+Imp+Del+InclSubj+3PlObvObj', 'miizh+VTA+Imp+Del+InclSubj+3SgObvObj']"
miinaasiwaadaa,"['miizh+VTA+Imp+Prb+InclSubj+3PlObvObj', 'miizh+VTA+Imp+Prb+InclSubj+3SgProxObj', 'miizh+VTA+Imp+Prb+InclSubj+3SgObvObj']"
miinaadaa,"['miizh+VTA+Imp+Sim+InclSubj+3PlObvObj', 'miizh+VTA+Imp+Sim+InclSubj+3SgObvObj', 'miizh+VTA+Imp+Sim+InclSubj+3SgProxObj']"
miinaakang,"['miizh+VTA+Imp+Del+InclSubj+3PlProxObj', 'miizh+VTA+Imp+Del+InclSubj+3SgProxObj']"
mawadisimaakeg,"['mawadish+VTA+Imp+Del+2PlSubj+3PlObvObj', 'mawadish+VTA+Imp+Del+2PlSubj+3SgObvObj']"
mawadisimaakegon,"['mawadish+VTA+Imp+Prb+2PlSubj+3PlObvObj', 'mawadish+VTA+Imp+Prb+2PlSubj+3SgObvObj']"
mawadisim,"['mawadish+VTA+Imp+Sim+2SgSubj+3SgObvObj', 'mawadish+VTA+Imp+Sim+2PlSubj+3SgObvObj', 'mawadish+VTA+Imp+Sim+2SgSubj+3PlObvObj', 'mawadish+VTA+Imp+Sim+2PlSubj+3PlObvObj']"
mawadisaakeg,"['mawadish+VTA+Imp+Del+2PlSubj+3SgProxObj', 'mawadish+VTA+Imp+Del+2PlSubj+3PlProxObj']"
mawadisaakegon,"['mawadish+VTA+Imp+Prb+2PlSubj+3SgProxObj', 'mawadish+VTA+Imp+Prb+2PlSubj+3PlProxObj']"
mawadisik,"['mawadish+VTA+Cnj+Pos+Neu+3SgProxSubj+2SgObj', 'mawadish+VTA+Imp+Sim+2PlSubj+3SgProxObj', 'mawadish+VTA+Imp+Sim+2PlSubj+3PlProxObj']"
mawadishishinaakaam,"['mawadish+VTA+Imp+Prb+2PlSubj+ExclObj', 'mawadish+VTA+Imp+Prb+2SgSubj+ExclObj', 'mawadish+VTA+Imp+Del+2PlSubj+ExclObj', 'mawadish+VTA+Imp+Del+2SgSubj+ExclObj']"
mawadishishinaam,"['mawadish+VTA+Imp+Sim+2SgSubj+ExclObj', 'mawadish+VTA+Imp+Sim+2PlSubj+ExclObj']"
mawadisimaakan,"['mawadish+VTA+Imp+Del+2SgSubj+3PlObvObj', 'mawadish+VTA+Imp+Del+2SgSubj+3SgObvObj']"
mawadisimaaken,"['mawadish+VTA+Imp+Prb+2SgSubj+3PlObvObj', 'mawadish+VTA+Imp+Prb+2SgSubj+3SgObvObj']"
mawadisaakan,"['mawadish+VTA+Imp+Del+2SgSubj+3PlProxObj', 'mawadish+VTA+Imp+Del+2SgSubj+3SgProxObj']"
mawadisaaken,"['mawadish+VTA+Imp+Prb+2SgSubj+3PlProxObj', 'mawadish+VTA+Imp+Prb+2SgSubj+3SgProxObj']"
mawadish,"['mawadish+VTA+Imp+Sim+2SgSubj+3SgProxObj', 'mawadish+VTA+Imp+Sim+2SgSubj+3PlProxObj']"
mawadisimaakang,"['mawadish+VTA+Imp+Del+InclSubj+3PlObvObj', 'mawadish+VTA+Imp+Del+InclSubj+3SgObvObj']"
mawadisaasiwaadaa,"['mawadish+VTA+Imp+Prb+InclSubj+3PlObvObj', 'mawadish+VTA+Imp+Prb+InclSubj+3SgProxObj', 'mawadish+VTA+Imp+Prb+InclSubj+3SgObvObj']"
mawadisaadaa,"['mawadish+VTA+Imp+Sim+InclSubj+3PlObvObj', 'mawadish+VTA+Imp+Sim+InclSubj+3SgObvObj', 'mawadish+VTA+Imp+Sim+InclSubj+3SgProxObj']"
mawadisaakang,"['mawadish+VTA+Imp+Del+InclSubj+3PlProxObj', 'mawadish+VTA+Imp+Del+InclSubj+3SgProxObj']"
